code,branch
SBIN0020421,ADUL
SBIN0020422,AHMEDNAGAR
SBIN0020423,GOREGAOAN
SBIN0020424,DHARUR
SBIN0020425,DHANEGAON MIDC
SBIN0020426,VAZIRABAD WADAPALLI
SBIN0020427,CCI TOWNSHIP  ADILABAD
SBIN0020428,DOMA
SBIN0020429,NAGAD
SBIN0020430,COIMBATORE
SBIN0020431,BARODA
SBIN0020432,MUNICIPAL COMPLEX TANK BUND
SBIN0020433,MANTHANI ADB
SBIN0020434,GULBARGA UNIVERSITY
SBIN0020435,CHERIYAL
SBIN0020436,VILASAGAR
SBIN0020437,BOWRAMPET
SBIN0020438,NANALPET
SBIN0020439,MADALMOHI
SBIN0020440,MEDIKONDUR
SBIN0020441,CHAVALI
SBIN0020442,BALANAGAR
SBIN0020443,KOILKONDA
SBIN0020444,PANGAL
SBIN0020445,SIRGAPUR
SBIN0020446,KARANKOTE
SBIN0020447,KODAKONDLA
SBIN0020448,GULBARGA VIDYANAGAR
SBIN0020449,MAHESHWARAM
SBIN0020450,GHATKESAR
SBIN0020451,JYOTHINAGAR
SBIN0020452,NANDED SRINAGAR COLONY
SBIN0020453,RAMTHIRTH ADB
SBIN0020454,TARNAKA HYDERABAD
SBIN0020455,CHOWRASTA HANAMKONDA
SBIN0020456,ZARI
SBIN0020457,ISLAPUR
SBIN0020458,JUBILEE HILLS HYDERABAD
SBIN0020459,MACHA BOLARUM
SBIN0020460,PARADH
SBIN0020461,KANKAL
SBIN0020462,AMIRPET
SBIN0020463,KHANDUKUR
SBIN0020464,ALOOR
SBIN0020465,YALAL
SBIN0020466,KALMALA
SBIN0020467,KATHAK CHINCHOLI
SBIN0020468,MOHAMMADABAD
SBIN0020469,VENNECHED
SBIN0020470,NANDAWADGI
SBIN0020471,RAMNAGAR HYDERABAD
SBIN0020472,MARPALLY KALAN
SBIN0020473,PATLOOR
SBIN0020474,ELIGAID
SBIN0020475,RAIPARTHY
SBIN0020476,SIDDAPUR
SBIN0020477,UTOOR
SBIN0020478,JAINOOR
SBIN0020479,NARNOOR
SBIN0020480,YERRAPAHAD
SBIN0020481,GADDIPALLI
SBIN0020482,YERGATLA
SBIN0020483,UTTARAKANCHI
SBIN0020484,KOTTAM
SBIN0020485,KASIPATNAM
SBIN0020486,GOLUGONDA
SBIN0020487,ROMPICHERLA
SBIN0020488,MAIN BR
SBIN0020489,MACHAVARAM AMBAJIPETA
SBIN0020490,KESANAKURRU
SBIN0020491,SATTENAPALLE
SBIN0020492,KURNOOL
SBIN0020493,BIJAPUR
SBIN0020494,BHEEMARAM
SBIN0020495,PARGI ADB
SBIN0020496,GRUHAKALPA
SBIN0020497,ERNAKULAM BR
SBIN0020498,BELGAUM
SBIN0020499,OAD ZO HYDERABAD
SBIN0020500,OAD ZO WARANGAL
SBIN0020501,OAD ZO GULBARGA
SBIN0020502,NARSAPUR
SBIN0020503,RAJAMPET
SBIN0020504,RAMAYAMPET
SBIN0020505,ISSARWADI
SBIN0020506,NAGEWADI
SBIN0020507,CHILAKALURIPET
SBIN0020508,RANGAMPET
SBIN0020509,REDDYPET
SBIN0020510,SATAPUR
SBIN0020511,SCOPE COMPLEX
SBIN0020512,BARAHALLI
SBIN0020513,CUDDAPAH
SBIN0020514,MANUGURU
SBIN0020515,VIJAYAWADA BHAVANIPURAM
SBIN0020516,PEGADAPALLI
SBIN0020517,MANJULURU
SBIN0020518,TADIMALLA
SBIN0020519,CHENGUMAL
SBIN0020520,MARIKAL
SBIN0020521,YERRAVARAM
SBIN0020522,DONKAL
SBIN0020523,CHOUTPALLY
SBIN0020524,MEDCHAL
SBIN0020525,KONGARAKALAN
SBIN0020526,MASAB TANK HYDERABAD
SBIN0020527,BELLARY
SBIN0020528,MUTHARAM
SBIN0020529,KATARAM
SBIN0020530,CHINA AMIRAM
SBIN0020531,MACHAREDDY
SBIN0020532,SHASTRI NAGAR
SBIN0020533,SALORA
SBIN0020534,KAKATIYA NAGAR HYDERABAD
SBIN0020535,VISHAKHAPATNAM MUVVALAVANIPALEM
SBIN0020536,VSP TOWNSHIP
SBIN0020537,EDDUMAILARAM
SBIN0020538,DIRUSUMARRU
SBIN0020539,NAGPUR
SBIN0020540,RAIDURG
SBIN0020541,GUNTUR CHANDRAMOULI NAGAR
SBIN0020542,PATAMATALANKA
SBIN0020543,KANCHANWADI
SBIN0020544,NAWABPET
SBIN0020545,SHALIMAR BAGH
SBIN0020546,CHEMUDULANKA
SBIN0020547,COLLECTORATE COMPLEX
SBIN0020548,VIZIANAGARAM
SBIN0020549,MAIN BR
SBIN0020550,KHUDAVANPUR
SBIN0020551,SHIMOGA
SBIN0020552,NIZAMSAGAR
SBIN0020553,VMC NELLORE
SBIN0020554,GANDHAMPALLI
SBIN0020555,MYSORE
SBIN0020556,KAREPALLI
SBIN0020557,KOLLUR
SBIN0020558,PULKAL
SBIN0020559,RYTHU NAGAR MIRZAPUR
SBIN0020560,THANAKALAN
SBIN0020561,JUKKAL
SBIN0020562,THORLIKONDA
SBIN0020563,BETHAVOLE
SBIN0020564,VANASTALIPURAM HYDERABAD
SBIN0020565,VADALI
SBIN0020566,ASWAPURAM
SBIN0020567,CHITYAL
SBIN0020568,NAGA SAMUNDER
SBIN0020569,THIMMAPUR
SBIN0020570,PRODDATUR
SBIN0020571,SERVICE BRANCH
SBIN0020572,DORNAKAL
SBIN0020573,VISHAKHAPATNAM KANCHERAPALEM
SBIN0020574,ARGUL
SBIN0020575,ANANTAPUR
SBIN0020576,BAGH LINGAMPALLY HYDERABAD
SBIN0020577,SERVICE BRANCH HYDERABAD
SBIN0020578,VILLE PARLE
SBIN0020579,VELPUR
SBIN0020580,VEMULAPALLI
SBIN0020581,DUPADU
SBIN0020582,AKOLA
SBIN0020583,PUDUR
SBIN0020584,SATYANARAYANAPURAM
SBIN0020585,MUDUNURU
SBIN0020586,KINNERASANI
SBIN0020587,THANDRIAL
SBIN0020588,KAILASH COLONY NEW DELHI
SBIN0020589,SIRIPURAM
SBIN0020590,GANDED
SBIN0020591,VADACHEEPURUPALLI
SBIN0020592,VANNEL B
SBIN0020593,MENDORA
SBIN0020594,JALKOT
SBIN0020595,MEERKHANPET
SBIN0020596,MOGALPURA HYDERABAD
SBIN0020597,MALKAPUR
SBIN0020598,MANINAGAR
SBIN0020599,HUTTI
SBIN0020600,TREASURY DEPT MUMBAI
SBIN0020601,LBNAGAR
SBIN0020602,BERHAMPUR
SBIN0020603,AMRAVATI
SBIN0020604,VELGATOOR
SBIN0020605,GOVT ACCOUNTS LINK CELL
SBIN0020606,COLLECTORATE COMPLEX
SBIN0020607,INAVALLI
SBIN0020608,HUNWADA
SBIN0020609,JALLARAM
SBIN0020610,KAMEPALLY
SBIN0020611,EDULLA BAYYARAM
SBIN0020613,GUMMANAMPADU
SBIN0020614,KANUKULA
SBIN0020615,WATUR
SBIN0020616,ANANTHA GIRI
SBIN0020617,WALSAVANGI
SBIN0020618,HUSNABAD
SBIN0020619,HIRAPUR
SBIN0020620,ZARI NAVAKUND
SBIN0020621,VIJAYAPURI SOUTH
SBIN0020622,PULICHERLA
SBIN0020623,USTURI
SBIN0020624,MADAJ
SBIN0020625,ISMAILKHANPET
SBIN0020627,MANJARSUMBA
SBIN0020628,M DOMALPALLY
SBIN0020629,ALWAI
SBIN0020630,HULIHYDER
SBIN0020631,VISHAKHAPATNAM GAJUWAKA
SBIN0020632,DARGA BRANCH GULBARGA
SBIN0020633,JAYANAGAR
SBIN0020634,FORT BR
SBIN0020635,THAMSI
SBIN0020636,LUCKNOW
SBIN0020637,MOINABAD
SBIN0020638,NAWARGAON
SBIN0020639,KEESARA
SBIN0020640,PHULAMBRI
SBIN0020641,MOUNT ROAD
SBIN0020642,INDORE
SBIN0020643,CHIVEMULA
SBIN0020644,CHANDRAPUR
SBIN0020645,CHINTAKI
SBIN0020646,YATALA
SBIN0020647,NAGAPUR
SBIN0020649,TORNA
SBIN0020650,APSRTC
SBIN0020651,GUNDALA
SBIN0020652,BASAMBA
SBIN0020653,YELLAREDDIGUDA
SBIN0020654,THATIPUDI
SBIN0020655,DUGGONDI
SBIN0020656,CHUCHU KONDA
SBIN0020657,MANDEWAL
SBIN0020658,GUNJAPADUGU
SBIN0020659,SARDAR NAGAR
SBIN0020660,SONKHED
SBIN0020661,TARODANAKA NANDED
SBIN0020662,THUMKUNTA
SBIN0020663,KANAJI
SBIN0020664,SAGNUR
SBIN0020665,DHANEGAON
SBIN0020666,ATM NODAL OFFICE
SBIN0020669,OAD ZO VIZAG
SBIN0020671,OAD ZO SECUNDERABAD
SBIN0020672,GOJEGAON
SBIN0020673,ASHRAM ROAD
SBIN0020674,KUSUMANCHI
SBIN0020675,HATNOORA
SBIN0020676,JAKLAIR
SBIN0020677,NANDYAL
SBIN0020678,VM BANJARA
SBIN0020679,OVERSEAS BR
SBIN0020680,REKHAPALLI
SBIN0020681,RAMDURG
SBIN0020682,HULIGERI
SBIN0020683,PEDAVANGARA
SBIN0020684,OVERSEAS BR
SBIN0020685,OAD RO MUMBAI
SBIN0020686,JANPAHAD
SBIN0020689,LINGAPUR
SBIN0020690,KOTHAKOTA
SBIN0020691,SENGAON
SBIN0020692,ALAMANDA
SBIN0020693,YERRAMPET
SBIN0020694,SARKHANI
SBIN0020695,LAXMINAGARAM
SBIN0020696,ABDULLAHPUR
SBIN0020697,KISTAMPET
SBIN0020698,KOKATAM
SBIN0020699,MATUL
SBIN0020700,ADA
SBIN0020701,TULSI NGR BR
SBIN0020702,JAIPUR
SBIN0020703,IND FINANCE BR
SBIN0020704,NARSINGPUR
SBIN0020706,SERVICE BRANCH NEW DELHI
SBIN0020707,SERVICE BRANCH CHENNAI
SBIN0020708,GODAVARIKHANI
SBIN0020709,KACHINAPALLE
SBIN0020710,OSMANGUNJ BIDAR
SBIN0020711,VIJAYAWADA SERVICE BRANCH
SBIN0020712,VISHAKHAPATNAM SERVICE BRANCH
SBIN0020713,VIJAYAWADA SC RAILWAY
SBIN0020714,VIJAYAWADA CHITTINAGAR
SBIN0020715,GUNTUR A T AGRAHARAM
SBIN0020716,NGOS COLONY
SBIN0020717,GULBARGA OLD HOSPITAL
SBIN0020718,SARPAVARAM JUNCTION
SBIN0020719,INDRAPALEM
SBIN0020720,VISHAKHAPATNAM MURALINAGAR
SBIN0020721,VISHAKHAPATNAM MUNICIPAL COMPLEX
SBIN0020722,BIJUPATNAIK CHOWK
SBIN0020723,AHMEDPURA NIZAMABAD
SBIN0020724,GADA GOPINATH PRASAD
SBIN0020725,JAGAMARA
SBIN0020727,DHARWARD
SBIN0020728,NMDC BR
SBIN0020729,NAGAWARPALYA
SBIN0020730,BHOPAL
SBIN0020731,THIRUVANANTHAPURAM
SBIN0020732,KOYAMBEDU
SBIN0020733,MALAD WEST
SBIN0020734,PUNE KOTHRUD
SBIN0020735,KOZHIKODE
SBIN0020736,BHARATNAGAR COLONY
SBIN0020737,SUBRIYAL
SBIN0020738,PALEM
SBIN0020739,VENNELA
SBIN0020740,N R I BRANCH HYDERABAD
SBIN0020741,IND FINANCE BR
SBIN0020742,CHITYAL
SBIN0020743,IND FINANCE BR
SBIN0020744,GARIMELLA
SBIN0020745,GULBARGA SERVICE BRANCH
SBIN0020746,JANKAPUR
SBIN0020747,POTHANGAL
SBIN0020748,SBH INTEGRATED TREASURY BRANCH
SBIN0020751,ESTATE DEPT HO HYDERABAD
SBIN0020752,VIJAYAWADA SIB BRANCH
SBIN0020756,SERVICE BR
SBIN0020758,PRASHANTNAGAR HYDERABAD
SBIN0020759,VISHAKHAPATNAM SIRIPURAM
SBIN0020760,CHERLAPALLY
SBIN0020761,CHIRALA
SBIN0020762,GHEEKANTA
SBIN0020763,SHALIGOWRARAM
SBIN0020764,GUNTUR TOBACCO BOARD
SBIN0020765,PUNE NIGADI PIMPRI CHINCHWAD
SBIN0020766,P AND S B VIKRAMPURI
SBIN0020767,RAZOLE
SBIN0020768,TUNI
SBIN0020769,JANGAREDDIGUDEM
SBIN0020770,NANDIKOTKUR
SBIN0020771,APHB KUKATPALLY
SBIN0020772,VUYYUR
SBIN0020773,KURNOOL RD
SBIN0020774,KANDUKUR
SBIN0020775,P AND SB MEHDIPATNAM BR
SBIN0020776,MANKAMMATHOTA
SBIN0020777,SIB BRANCH WARANGAL
SBIN0020778,KOVAIPUDUR
SBIN0020779,VTPS IBRAHIMPATNAM
SBIN0020780,ZILLA PARISHAD
SBIN0020781,BARSI
SBIN0020782,CHENGANNUR
SBIN0020783,TIRUVELLA
SBIN0020784,SRIKAKULAM
SBIN0020785,CHANDIGARH
SBIN0020786,ROZABAUGH
SBIN0020787,AKIVEEDU
SBIN0020788,VISHAKHAPATNAM S I B BRANCH
SBIN0020789,GAJENDRAGAD
SBIN0020790,ALKAPURI
SBIN0020791,NUZIVEEDU
SBIN0020792,PONNUR
SBIN0020793,CIDCO TOWN
SBIN0020794,VASHI
SBIN0020795,CHITTOOR
SBIN0020796,TALLADA
SBIN0020797,RLY STN RD TIRUPATI
SBIN0020798,NANJANGUD
SBIN0020799,MANDAMARRI
SBIN0020800,JALGAON
SBIN0020801,LAXMINAGAR
SBIN0020802,SHAMSHABAD SSI BRANCH
SBIN0020803,MANGALORE
SBIN0020804,SERVICE BRANCH
SBIN0020805,HOSPET
SBIN0020806,P AND S B BRANCH KOLKATA
SBIN0020807,KOLHAPUR
SBIN0020808,PONDICHERRY
SBIN0020809,PALASA
SBIN0020810,NARSARAOPET
SBIN0020811,HOWRA BRANCH KOLKATA
SBIN0020812,OLD BOWENPALLY
SBIN0020814,KANPUR
SBIN0020815,PIDUGURALLA
